"","Station_ID","UTM_X","UTM_Y","days","Subpop","counts"
"274","ITCHA5-03",1118480.73987785,842867.205062658,751,"Chilcotin",1
"275","ITCHA5-04",1121116.46849702,842977.800163587,959,"Chilcotin",0
"276","ITCHA5-05",1123621.21240435,842919.118087367,997,"Chilcotin",0
"277","ITCHA5-06",1113145.21215036,845348.582359354,1001,"Chilcotin",0
"278","ITCHA5-07",1115577.704862,845417.888640763,761,"Chilcotin",2
"279","ITCHA5-08",1118346.92851351,845541.376504509,975,"Chilcotin",5
"280","ITCHA5-09",1120778.46587677,845646.775632511,1002,"Chilcotin",0
"281","ITCHA5-10",1123487.11935175,845492.80076987,954,"Chilcotin",1
"282","ITCHA5-11",1113086.93296052,847812.692893005,1001,"Chilcotin",0
"283","ITCHA5-12",1115656.76126071,847740.288023142,284,"Chilcotin",1
"284","ITCHA5-12B",1115658.91880902,847651.09000945,556,"Chilcotin",0
"285","ITCHA5-13",1118220.91062367,847903.406230211,310,"Chilcotin",0
"286","ITCHA5-13B",1118483.06165126,848233.432502278,369,"Chilcotin",3
"287","ITCHA5-14",1120849.07504342,848203.399884863,280,"Chilcotin",4
"288","ITCHA5-14B",1121050.55617933,848253.12336382,713,"Chilcotin",0
"289","ITCHA5-15",1123286.13418846,848042.487355548,998,"Chilcotin",1
"290","ITCHA5-16",1113026.27945977,850377.191996631,802,"Chilcotin",0
"291","ITCHA5-17",1115390.59440843,850366.757389792,995,"Chilcotin",0
"292","ITCHA5-18",1117822.17877308,850370.306233571,996,"Chilcotin",0
"293","ITCHA5-19",1120647.84679403,850820.138120707,993,"Chilcotin",0
"294","ITCHA5-20",1123481.37817513,850948.305626292,800,"Chilcotin",0
"295","ITCHA5-21",1112695.74532349,852935.356368154,720,"Chilcotin",0
"296","ITCHA5-22",1115392.64002659,853077.84698605,962,"Chilcotin",0
"297","ITCHA5-23",1118089.40968444,853221.86038578,987,"Chilcotin",0
